id,area,name,other_names,gender,group,term,start_date,end_date,source
,Preseli Pembrokeshire,Tamsin Dunwoody,Tamsin Dunwoody-Kneafsey;Moyra Tamsin Dunwoody;Tamsin Dunwoody;Moyra Dunwoody-Kneafsey,female,Welsh Labour,2,,,http://www.politicsresources.net/area/uk/wassmps03.htm
,Mid and West Wales,Nerys Evans,,female,Plaid Cymru,3,,,"https://en.wikipedia.org/wiki/National_Assembly_for_Wales_election,_2007"
,Mid and West Wales,Nick Bourne,Nicholas Bourne,male,Welsh Conservative Party,2,,,http://www.politicsresources.net/area/uk/wassmps03.htm
,Mid and West Wales,Nick Bourne,Nicholas Bourne,male,Welsh Conservative Party,1,,,http://www.politicsresources.net/area/uk/wassmps.htm
,Mid and West Wales,Nick Bourne,Nicholas Bourne,male,Welsh Conservative Party,3,,,"https://en.wikipedia.org/wiki/National_Assembly_for_Wales_election,_2007"
,Monmouth,Nick Ramsay,,male,Welsh Conservative Party,3,,,"https://en.wikipedia.org/wiki/National_Assembly_for_Wales_election,_2007"
,South Wales Central,Owen John Thomas,,male,Plaid Cymru,1,,,http://www.politicsresources.net/area/uk/wassmps.htm
,South Wales Central,Owen John Thomas,,male,Plaid Cymru,2,,,http://www.politicsresources.net/area/uk/wassmps03.htm
,Blaenau Gwent,Patricia Law,,female,Independent,2,2006-06-29,,http://www.politicsresources.net/area/uk/wassmps03.htm
,Preseli Pembrokeshire,Paul Davies,,male,Welsh Conservative Party,3,,,"https://en.wikipedia.org/wiki/National_Assembly_for_Wales_election,_2007"
,South Wales Central,Pauline Jarman,,female,Plaid Cymru,1,,,http://www.politicsresources.net/area/uk/wassmps.htm
,South Wales West,Peter Black,,male,Welsh Liberal Democrats,2,,,http://www.politicsresources.net/area/uk/wassmps03.htm
,South Wales West,Peter Black,,male,Welsh Liberal Democrats,1,,,http://www.politicsresources.net/area/uk/wassmps.htm
,South Wales West,Peter Black,,male,Welsh Liberal Democrats,3,,,"https://en.wikipedia.org/wiki/National_Assembly_for_Wales_election,_2007"
